"","country","continent","year","lifeExp","pop","gdpPercap"
"43","Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157
"44","Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757
"45","Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445
"46","Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904
"47","Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239
"48","Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803
"49","Bulgaria","Europe",1952,59.6,7274900,2444.286648
"50","Bulgaria","Europe",1957,66.61,7651254,3008.670727
"51","Bulgaria","Europe",1962,69.51,8012946,4254.337839
"52","Bulgaria","Europe",1967,70.42,8310226,5577.0028
"53","Bulgaria","Europe",1972,70.9,8576200,6597.494398
"54","Bulgaria","Europe",1977,70.81,8797022,7612.240438
"55","Bulgaria","Europe",1982,71.08,8892098,8224.191647
"56","Bulgaria","Europe",1987,71.34,8971958,8239.854824
"57","Bulgaria","Europe",1992,71.19,8658506,6302.623438
"58","Bulgaria","Europe",1997,70.32,8066057,5970.38876
"59","Bulgaria","Europe",2002,72.14,7661799,7696.777725
"60","Bulgaria","Europe",2007,73.005,7322858,10680.79282
"61","Croatia","Europe",1952,61.21,3882229,3119.23652
"62","Croatia","Europe",1957,64.77,3991242,4338.231617
"63","Croatia","Europe",1962,67.13,4076557,5477.890018
"64","Croatia","Europe",1967,68.5,4174366,6960.297861
"65","Croatia","Europe",1972,69.61,4225310,9164.090127
"66","Croatia","Europe",1977,70.64,4318673,11305.38517
"67","Croatia","Europe",1982,70.46,4413368,13221.82184
"68","Croatia","Europe",1987,71.52,4484310,13822.58394
"69","Croatia","Europe",1992,72.527,4494013,8447.794873
"70","Croatia","Europe",1997,73.68,4444595,9875.604515
"71","Croatia","Europe",2002,74.876,4481020,11628.38895
"72","Croatia","Europe",2007,75.748,4493312,14619.22272
"73","Czech Republic","Europe",1952,66.87,9125183,6876.14025
"74","Czech Republic","Europe",1957,69.03,9513758,8256.343918
"75","Czech Republic","Europe",1962,69.9,9620282,10136.86713
"76","Czech Republic","Europe",1967,70.38,9835109,11399.44489
"77","Czech Republic","Europe",1972,70.29,9862158,13108.4536
"78","Czech Republic","Europe",1977,70.71,10161915,14800.16062
"79","Czech Republic","Europe",1982,70.96,10303704,15377.22855
"80","Czech Republic","Europe",1987,71.58,10311597,16310.4434
"81","Czech Republic","Europe",1992,72.4,10315702,14297.02122
"82","Czech Republic","Europe",1997,74.01,10300707,16048.51424
"83","Czech Republic","Europe",2002,75.51,10256295,17596.21022
"84","Czech Republic","Europe",2007,76.486,10228744,22833.30851
"85","Denmark","Europe",1952,70.78,4334000,9692.385245
"86","Denmark","Europe",1957,71.81,4487831,11099.65935
"87","Denmark","Europe",1962,72.35,4646899,13583.31351
"88","Denmark","Europe",1967,72.96,4838800,15937.21123
"89","Denmark","Europe",1972,73.47,4991596,18866.20721
"90","Denmark","Europe",1977,74.69,5088419,20422.9015
"91","Denmark","Europe",1982,74.63,5117810,21688.04048
"92","Denmark","Europe",1987,74.8,5127024,25116.17581
"93","Denmark","Europe",1992,75.33,5171393,26406.73985
"94","Denmark","Europe",1997,76.11,5283663,29804.34567
"95","Denmark","Europe",2002,77.18,5374693,32166.50006
"96","Denmark","Europe",2007,78.332,5468120,35278.41874
"97","Finland","Europe",1952,66.55,4090500,6424.519071
"98","Finland","Europe",1957,67.49,4324000,7545.415386
"99","Finland","Europe",1962,68.75,4491443,9371.842561
"100","Finland","Europe",1967,69.83,4605744,10921.63626
"101","Finland","Europe",1972,70.87,4639657,14358.8759
"102","Finland","Europe",1977,72.52,4738902,15605.42283
"103","Finland","Europe",1982,74.55,4826933,18533.15761
"104","Finland","Europe",1987,74.83,4931729,21141.01223
"105","Finland","Europe",1992,75.7,5041039,20647.16499
"106","Finland","Europe",1997,77.13,5134406,23723.9502
"107","Finland","Europe",2002,78.37,5193039,28204.59057
"108","Finland","Europe",2007,79.313,5238460,33207.0844
"109","France","Europe",1952,67.41,42459667,7029.809327
"110","France","Europe",1957,68.93,44310863,8662.834898
"111","France","Europe",1962,70.51,47124000,10560.48553
"112","France","Europe",1967,71.55,49569000,12999.91766
"113","France","Europe",1972,72.38,51732000,16107.19171
"114","France","Europe",1977,73.83,53165019,18292.63514
"115","France","Europe",1982,74.89,54433565,20293.89746
"116","France","Europe",1987,76.34,55630100,22066.44214
"117","France","Europe",1992,77.46,57374179,24703.79615
"118","France","Europe",1997,78.64,58623428,25889.78487
"119","France","Europe",2002,79.59,59925035,28926.03234
"120","France","Europe",2007,80.657,61083916,30470.0167
"121","Germany","Europe",1952,67.5,69145952,7144.114393
"122","Germany","Europe",1957,69.1,71019069,10187.82665
"123","Germany","Europe",1962,70.3,73739117,12902.46291
"124","Germany","Europe",1967,70.8,76368453,14745.62561
"125","Germany","Europe",1972,71,78717088,18016.18027
"126","Germany","Europe",1977,72.5,78160773,20512.92123
"127","Germany","Europe",1982,73.8,78335266,22031.53274
"128","Germany","Europe",1987,74.847,77718298,24639.18566
"129","Germany","Europe",1992,76.07,80597764,26505.30317
"130","Germany","Europe",1997,77.34,82011073,27788.88416
"131","Germany","Europe",2002,78.67,82350671,30035.80198
"132","Germany","Europe",2007,79.406,82400996,32170.37442
"133","Greece","Europe",1952,65.86,7733250,3530.690067
"134","Greece","Europe",1957,67.86,8096218,4916.299889
"135","Greece","Europe",1962,69.51,8448233,6017.190733
"136","Greece","Europe",1967,71,8716441,8513.097016
"137","Greece","Europe",1972,72.34,8888628,12724.82957
"138","Greece","Europe",1977,73.68,9308479,14195.52428
"139","Greece","Europe",1982,75.24,9786480,15268.42089
"140","Greece","Europe",1987,76.67,9974490,16120.52839
"141","Greece","Europe",1992,77.03,10325429,17541.49634
"142","Greece","Europe",1997,77.869,10502372,18747.69814
"143","Greece","Europe",2002,78.256,10603863,22514.2548
"144","Greece","Europe",2007,79.483,10706290,27538.41188
"145","Hungary","Europe",1952,64.03,9504000,5263.673816
"146","Hungary","Europe",1957,66.41,9839000,6040.180011
"147","Hungary","Europe",1962,67.96,10063000,7550.359877
"148","Hungary","Europe",1967,69.5,10223422,9326.64467
"149","Hungary","Europe",1972,69.76,10394091,10168.65611
"150","Hungary","Europe",1977,69.95,10637171,11674.83737
"151","Hungary","Europe",1982,69.39,10705535,12545.99066
"152","Hungary","Europe",1987,69.58,10612740,12986.47998
"153","Hungary","Europe",1992,69.17,10348684,10535.62855
"154","Hungary","Europe",1997,71.04,10244684,11712.7768
"155","Hungary","Europe",2002,72.59,10083313,14843.93556
"156","Hungary","Europe",2007,73.338,9956108,18008.94444
"157","Iceland","Europe",1952,72.49,147962,7267.688428
"158","Iceland","Europe",1957,73.47,165110,9244.001412
"159","Iceland","Europe",1962,73.68,182053,10350.15906
"160","Iceland","Europe",1967,73.73,198676,13319.89568
"161","Iceland","Europe",1972,74.46,209275,15798.06362
"162","Iceland","Europe",1977,76.11,221823,19654.96247
"163","Iceland","Europe",1982,76.99,233997,23269.6075
"164","Iceland","Europe",1987,77.23,244676,26923.20628
"165","Iceland","Europe",1992,78.77,259012,25144.39201
"166","Iceland","Europe",1997,78.95,271192,28061.09966
"167","Iceland","Europe",2002,80.5,288030,31163.20196
"168","Iceland","Europe",2007,81.757,301931,36180.78919
"169","Ireland","Europe",1952,66.91,2952156,5210.280328
"170","Ireland","Europe",1957,68.9,2878220,5599.077872
"171","Ireland","Europe",1962,70.29,2830000,6631.597314
"172","Ireland","Europe",1967,71.08,2900100,7655.568963
"173","Ireland","Europe",1972,71.28,3024400,9530.772896
"174","Ireland","Europe",1977,72.03,3271900,11150.98113
"175","Ireland","Europe",1982,73.1,3480000,12618.32141
"176","Ireland","Europe",1987,74.36,3539900,13872.86652
"177","Ireland","Europe",1992,75.467,3557761,17558.81555
"178","Ireland","Europe",1997,76.122,3667233,24521.94713
"179","Ireland","Europe",2002,77.783,3879155,34077.04939
"180","Ireland","Europe",2007,78.885,4109086,40675.99635
"181","Italy","Europe",1952,65.94,47666000,4931.404155
"182","Italy","Europe",1957,67.81,49182000,6248.656232
"183","Italy","Europe",1962,69.24,50843200,8243.58234
"184","Italy","Europe",1967,71.06,52667100,10022.40131
"185","Italy","Europe",1972,72.19,54365564,12269.27378
"186","Italy","Europe",1977,73.48,56059245,14255.98475
"187","Italy","Europe",1982,74.98,56535636,16537.4835
"188","Italy","Europe",1987,76.42,56729703,19207.23482
"189","Italy","Europe",1992,77.44,56840847,22013.64486
"190","Italy","Europe",1997,78.82,57479469,24675.02446
"191","Italy","Europe",2002,80.24,57926999,27968.09817
"192","Italy","Europe",2007,80.546,58147733,28569.7197
"193","Montenegro","Europe",1952,59.164,413834,2647.585601
"194","Montenegro","Europe",1957,61.448,442829,3682.259903
"195","Montenegro","Europe",1962,63.728,474528,4649.593785
"196","Montenegro","Europe",1967,67.178,501035,5907.850937
"197","Montenegro","Europe",1972,70.636,527678,7778.414017
"198","Montenegro","Europe",1977,73.066,560073,9595.929905
"199","Montenegro","Europe",1982,74.101,562548,11222.58762
"200","Montenegro","Europe",1987,74.865,569473,11732.51017
"201","Montenegro","Europe",1992,75.435,621621,7003.339037
"202","Montenegro","Europe",1997,75.445,692651,6465.613349
"203","Montenegro","Europe",2002,73.981,720230,6557.194282
"204","Montenegro","Europe",2007,74.543,684736,9253.896111
"205","Netherlands","Europe",1952,72.13,10381988,8941.571858
"206","Netherlands","Europe",1957,72.99,11026383,11276.19344
"207","Netherlands","Europe",1962,73.23,11805689,12790.84956
"208","Netherlands","Europe",1967,73.82,12596822,15363.25136
"209","Netherlands","Europe",1972,73.75,13329874,18794.74567
"210","Netherlands","Europe",1977,75.24,13852989,21209.0592
"211","Netherlands","Europe",1982,76.05,14310401,21399.46046
"212","Netherlands","Europe",1987,76.83,14665278,23651.32361
"213","Netherlands","Europe",1992,77.42,15174244,26790.94961
"214","Netherlands","Europe",1997,78.03,15604464,30246.13063
"215","Netherlands","Europe",2002,78.53,16122830,33724.75778
"216","Netherlands","Europe",2007,79.762,16570613,36797.93332
"217","Norway","Europe",1952,72.67,3327728,10095.42172
"218","Norway","Europe",1957,73.44,3491938,11653.97304
"219","Norway","Europe",1962,73.47,3638919,13450.40151
"220","Norway","Europe",1967,74.08,3786019,16361.87647
"221","Norway","Europe",1972,74.34,3933004,18965.05551
"222","Norway","Europe",1977,75.37,4043205,23311.34939
"223","Norway","Europe",1982,75.97,4114787,26298.63531
"224","Norway","Europe",1987,75.89,4186147,31540.9748
"225","Norway","Europe",1992,77.32,4286357,33965.66115
"226","Norway","Europe",1997,78.32,4405672,41283.16433
"227","Norway","Europe",2002,79.05,4535591,44683.97525
"228","Norway","Europe",2007,80.196,4627926,49357.19017
"229","Poland","Europe",1952,61.31,25730551,4029.329699
"230","Poland","Europe",1957,65.77,28235346,4734.253019
"231","Poland","Europe",1962,67.64,30329617,5338.752143
"232","Poland","Europe",1967,69.61,31785378,6557.152776
"233","Poland","Europe",1972,70.85,33039545,8006.506993
"234","Poland","Europe",1977,70.67,34621254,9508.141454
"235","Poland","Europe",1982,71.32,36227381,8451.531004
"236","Poland","Europe",1987,70.98,37740710,9082.351172
"237","Poland","Europe",1992,70.99,38370697,7738.881247
"238","Poland","Europe",1997,72.75,38654957,10159.58368
"239","Poland","Europe",2002,74.67,38625976,12002.23908
"240","Poland","Europe",2007,75.563,38518241,15389.92468
"241","Portugal","Europe",1952,59.82,8526050,3068.319867
"242","Portugal","Europe",1957,61.51,8817650,3774.571743
"243","Portugal","Europe",1962,64.39,9019800,4727.954889
"244","Portugal","Europe",1967,66.6,9103000,6361.517993
"245","Portugal","Europe",1972,69.26,8970450,9022.247417
"246","Portugal","Europe",1977,70.41,9662600,10172.48572
"247","Portugal","Europe",1982,72.77,9859650,11753.84291
"248","Portugal","Europe",1987,74.06,9915289,13039.30876
"249","Portugal","Europe",1992,74.86,9927680,16207.26663
"250","Portugal","Europe",1997,75.97,10156415,17641.03156
"251","Portugal","Europe",2002,77.29,10433867,19970.90787
"252","Portugal","Europe",2007,78.098,10642836,20509.64777
"253","Romania","Europe",1952,61.05,16630000,3144.613186
"254","Romania","Europe",1957,64.1,17829327,3943.370225
"255","Romania","Europe",1962,66.8,18680721,4734.997586
"256","Romania","Europe",1967,66.8,19284814,6470.866545
"257","Romania","Europe",1972,69.21,20662648,8011.414402
"258","Romania","Europe",1977,69.46,21658597,9356.39724
"259","Romania","Europe",1982,69.66,22356726,9605.314053
"260","Romania","Europe",1987,69.53,22686371,9696.273295
"261","Romania","Europe",1992,69.36,22797027,6598.409903
"262","Romania","Europe",1997,69.72,22562458,7346.547557
"263","Romania","Europe",2002,71.322,22404337,7885.360081
"264","Romania","Europe",2007,72.476,22276056,10808.47561
"265","Serbia","Europe",1952,57.996,6860147,3581.459448
"266","Serbia","Europe",1957,61.685,7271135,4981.090891
"267","Serbia","Europe",1962,64.531,7616060,6289.629157
"268","Serbia","Europe",1967,66.914,7971222,7991.707066
"269","Serbia","Europe",1972,68.7,8313288,10522.06749
"270","Serbia","Europe",1977,70.3,8686367,12980.66956
"271","Serbia","Europe",1982,70.162,9032824,15181.0927
"272","Serbia","Europe",1987,71.218,9230783,15870.87851
"273","Serbia","Europe",1992,71.659,9826397,9325.068238
"274","Serbia","Europe",1997,72.232,10336594,7914.320304
"275","Serbia","Europe",2002,73.213,10111559,7236.075251
"276","Serbia","Europe",2007,74.002,10150265,9786.534714
"277","Slovak Republic","Europe",1952,64.36,3558137,5074.659104
"278","Slovak Republic","Europe",1957,67.45,3844277,6093.26298
"279","Slovak Republic","Europe",1962,70.33,4237384,7481.107598
"280","Slovak Republic","Europe",1967,70.98,4442238,8412.902397
"281","Slovak Republic","Europe",1972,70.35,4593433,9674.167626
"282","Slovak Republic","Europe",1977,70.45,4827803,10922.66404
"283","Slovak Republic","Europe",1982,70.8,5048043,11348.54585
"284","Slovak Republic","Europe",1987,71.08,5199318,12037.26758
"285","Slovak Republic","Europe",1992,71.38,5302888,9498.467723
"286","Slovak Republic","Europe",1997,72.71,5383010,12126.23065
"287","Slovak Republic","Europe",2002,73.8,5410052,13638.77837
"288","Slovak Republic","Europe",2007,74.663,5447502,18678.31435
"289","Slovenia","Europe",1952,65.57,1489518,4215.041741
"290","Slovenia","Europe",1957,67.85,1533070,5862.276629
"291","Slovenia","Europe",1962,69.15,1582962,7402.303395
"292","Slovenia","Europe",1967,69.18,1646912,9405.489397
"293","Slovenia","Europe",1972,69.82,1694510,12383.4862
"294","Slovenia","Europe",1977,70.97,1746919,15277.03017
"295","Slovenia","Europe",1982,71.063,1861252,17866.72175
"296","Slovenia","Europe",1987,72.25,1945870,18678.53492
"297","Slovenia","Europe",1992,73.64,1999210,14214.71681
"298","Slovenia","Europe",1997,75.13,2011612,17161.10735
"299","Slovenia","Europe",2002,76.66,2011497,20660.01936
"300","Slovenia","Europe",2007,77.926,2009245,25768.25759
"301","Spain","Europe",1952,64.94,28549870,3834.034742
"302","Spain","Europe",1957,66.66,29841614,4564.80241
"303","Spain","Europe",1962,69.69,31158061,5693.843879
"304","Spain","Europe",1967,71.44,32850275,7993.512294
"305","Spain","Europe",1972,73.06,34513161,10638.75131
"306","Spain","Europe",1977,74.39,36439000,13236.92117
"307","Spain","Europe",1982,76.3,37983310,13926.16997
"308","Spain","Europe",1987,76.9,38880702,15764.98313
"309","Spain","Europe",1992,77.57,39549438,18603.06452
"310","Spain","Europe",1997,78.77,39855442,20445.29896
"311","Spain","Europe",2002,79.78,40152517,24835.47166
"312","Spain","Europe",2007,80.941,40448191,28821.0637
"313","Sweden","Europe",1952,71.86,7124673,8527.844662
"314","Sweden","Europe",1957,72.49,7363802,9911.878226
"315","Sweden","Europe",1962,73.37,7561588,12329.44192
"316","Sweden","Europe",1967,74.16,7867931,15258.29697
"317","Sweden","Europe",1972,74.72,8122293,17832.02464
"318","Sweden","Europe",1977,75.44,8251648,18855.72521
"319","Sweden","Europe",1982,76.42,8325260,20667.38125
"320","Sweden","Europe",1987,77.19,8421403,23586.92927
"321","Sweden","Europe",1992,78.16,8718867,23880.01683
"322","Sweden","Europe",1997,79.39,8897619,25266.59499
"323","Sweden","Europe",2002,80.04,8954175,29341.63093
"324","Sweden","Europe",2007,80.884,9031088,33859.74835
"325","Switzerland","Europe",1952,69.62,4815000,14734.23275
"326","Switzerland","Europe",1957,70.56,5126000,17909.48973
"327","Switzerland","Europe",1962,71.32,5666000,20431.0927
"328","Switzerland","Europe",1967,72.77,6063000,22966.14432
"329","Switzerland","Europe",1972,73.78,6401400,27195.11304
"330","Switzerland","Europe",1977,75.39,6316424,26982.29052
"331","Switzerland","Europe",1982,76.21,6468126,28397.71512
"332","Switzerland","Europe",1987,77.41,6649942,30281.70459
"333","Switzerland","Europe",1992,78.03,6995447,31871.5303
"334","Switzerland","Europe",1997,79.37,7193761,32135.32301
"335","Switzerland","Europe",2002,80.62,7361757,34480.95771
"336","Switzerland","Europe",2007,81.701,7554661,37506.41907
"337","Turkey","Europe",1952,43.585,22235677,1969.10098
"338","Turkey","Europe",1957,48.079,25670939,2218.754257
"339","Turkey","Europe",1962,52.098,29788695,2322.869908
"340","Turkey","Europe",1967,54.336,33411317,2826.356387
"341","Turkey","Europe",1972,57.005,37492953,3450.69638
"342","Turkey","Europe",1977,59.507,42404033,4269.122326
"343","Turkey","Europe",1982,61.036,47328791,4241.356344
"344","Turkey","Europe",1987,63.108,52881328,5089.043686
"345","Turkey","Europe",1992,66.146,58179144,5678.348271
"346","Turkey","Europe",1997,68.835,63047647,6601.429915
"347","Turkey","Europe",2002,70.845,67308928,6508.085718
"348","Turkey","Europe",2007,71.777,71158647,8458.276384
"349","United Kingdom","Europe",1952,69.18,50430000,9979.508487
"350","United Kingdom","Europe",1957,70.42,51430000,11283.17795
"351","United Kingdom","Europe",1962,70.76,53292000,12477.17707
"352","United Kingdom","Europe",1967,71.36,54959000,14142.85089
"353","United Kingdom","Europe",1972,72.01,56079000,15895.11641
"354","United Kingdom","Europe",1977,72.76,56179000,17428.74846
"355","United Kingdom","Europe",1982,74.04,56339704,18232.42452
"356","United Kingdom","Europe",1987,75.007,56981620,21664.78767
"357","United Kingdom","Europe",1992,76.42,57866349,22705.09254
"358","United Kingdom","Europe",1997,77.218,58808266,26074.53136
"359","United Kingdom","Europe",2002,78.471,59912431,29478.99919
"360","United Kingdom","Europe",2007,79.425,60776238,33203.26128
